SNO,TWEET_TEXT,label_ps
27751,Can someone explain to me why everyone is filling up their gas tanks?,1
27755,The drive and wait I had to make for gas is crazy af,1
27762,In the trunk of your car you need two gas cans case of water first aid kit and a road kit at least. Just in case of emergency,0
27806,If the hurricane hits and everyone tries to leave it will be impossible for everyone to leave. Yet we all have gas,0
27816,I need to stop driving like I have a race car since gas stations are running out of gas,1
27836,I need gas so bad and I'm at work . Hopefully I can find some after ??,1
27942,Bless the gas stations that are trying to organize traffic flow,1
28097,"In line to gas up, it's not that bad... #Mommy2Five (at @SamsClub in Jacksonville, FL) https://t.co/8OCLcL71Ze",1
28139,"Also, I was thinking about it. Airline tickets are so expensive because of the gas. Gas isn't accessible, so naturally prices raise, #Irma",1
28163,Long lines for gas in Miami Beach. 30 minute wait. Was an hour and a half last night. https://t.co/yh3wCIeQoH,1
28313,Where do I find gas ?,1
28375,@Don_WillSlangIt Bra I gotta find gas,1
28399,Raise them mf gas prices!,1
28450,"No gas, no water whats next",1
28462,People kept telling me that at 4am there was gonna be gas. Fuck allat https://t.co/w84ZWz83DR,1
28511,Coral Springs area: there's gas in Wiles Rd and Coral Dr #hurricaneirma2017,1
28514,The line for gas is crazy https://t.co/1iKMIw45TZ,1
28554,Lmao there is no way I'm finna use the last of my gas to drive to Usf ??????,0
28679,Finally found gas! ???????,1
28753,um so is there anywhere in town that still has gas...?,1
28811,Can Spring Hill get a thread on availability of gas? I NEED GAS https://t.co/cu8BxSIPn8,1
28920,I'll give you 3.5 for 2 gallons of gas and a case of water https://t.co/PQmV2iOr8c,1
29046,Mobil gas stations are really only gas stations with gas . Use Waze app to find that gas ??.,1
29155,I'm wasting gas driving around trying to find it,1
29202,Don't get caught with no gas or in FL ... Irma hurricane is coming full force this weekend,0
29214,If you want gas go after 10pm no lines and there usually not pumping gas around that time ??????,1
29234,"Yay, gas stations have fuel this morning!",0
29271,"Needed gas, lines are crazy. #IrmaHurricane https://t.co/xR6jwE9lIS",1
29494,As of 10:00am there was gas at Mobil on the corner of 2nd Ave &amp; 4th St in #DowntownDelray - line at least a block long. #HurricanIrma2017,1
29531,I managed to finesse and only wait 2 minutes at a gas station that everyone was fighting over lmaoo #snoozeyalose,1
29655,@TyIerJinx @vKratic Like I said I could run out of gas on the way there I live very south,0
29671,#Irma Gas stations have no gas lines and have lines waiting for the next delivery. West Miami / Coral Gables,1
29727,4 gas stations later and i finally got gas,1
30134,"To all the people working at grocery stores, gas stations and home improvement stores. Thank you for putting up with all the madness #Irma",1
30223,"If y'all see any unfair high prices for water, gas, food, etc, REPORT IT. that's illegal under emergencies. Here's the number: 866-966-7226",1
30239,Found the most amazing app - GasNinja- they bring gas to you and fill your car at home!!,1
30244,I'm gonna be late to work cuz I'm on a dummy mission trynna find gas since there isn't any anywhere ??????????????,1
30339,@kvjshow @VirginiaKVJ @kevinrolston @JasonBigfoot what's the app one of the listeners mentioned about where to find gas? Diesel...,1
30508,People here in the Keys gassing up before heading out. Trying to beat the rush. @WPLGLocal10 https://t.co/CKAehhtYhH,1
30528,So most stations are out of gas.  Those that have it have loong lines. #Irma2017,1
30584,In line hoping to get gas. Every station in town has lines into the street. Gonna enjoy #Destiny2 while I can today as rest of week is #Irma,1
30649,"Wawa on University Blvd by UCF still has regular gas.
#UCF #HurricaneIrma",1
30656,i need to get gas before it's all gone but like ... irma ain't comin for a week i gotta drive places before then,1
30667,Does anyone know of any gas stations that still have gas in #Miami? #HurricaneIrma,1
30812,"@UCF cancel classes there's already no gas, how am I gonna get to classes",1
30887,Who tryna ride to the A this weekend? I'm not tryna foot that gas bill by myself ???????,0
30986,It's sad but I'm so desperate for gas I'm willing to give up my first unborn child. HELP ME FIND GAS #fuckyouirma,1
31001,Bruh I spent almost a whole day yesterday looking for gas. Y nada bro https://t.co/nAevd08LLx,1
31043,"@FactsVsOpinion Still better than Miami Beach. I couldn't find any gas in Hollywood. Have half tank, but will go later and find some.",1
31133,Citgo on US-1 and 120th just received a new gas tanker. Only Regular gas though. @CBSMiami https://t.co/9ZkQQdnXkR,1
31209,Able to get gas at circle k on NE 6th avenue in North Miami,1
31304,Filled up my tank yesterday but I still have to drive an hour to work the rest of the week. There's gonna be no gas by time I need it again,1
31508,I am so thankful I filled up my gas tank last week,1
31810,My mission to go get gas starts now,1
31900,True Value on Jupiter has gas containers if anyone was looking for some,1
31916,"Coworkers not from FL """"""""OMG did u get gas &amp; supplies?? Food cash how'd u find it???""""""""
I went 2 days ago just to be safe. 
""""""""Ur so Floridan wow""""""""",1
31995,"Costco Business center on SOBT in Orlando has plenty of ice, water and gas. #IrmaHurricane",1
32282,We only have premium gas in Tampa now ???????,1
32290,I actually really need to fill up my car and people are so freaking greedy with gas ... ??????,1
32402,@Mags_29 Fuck I can't even find gas,1
32747,Falta gasolina en Florida y sube el valor en los lugares que tienen. Falta agua y garrafas. Aconsejan evacuar al norte #IrmaHurricane,0
32840,"Bc of the need 2 stand in line 4 gas, sandbags, water etc we are cancelling the JV football game tonight. Make preparations with your family",1
32851,I found a gas station with gas in it,1
33121,Long gasoline lines in Florida. ?????? ??? ???,1
33226,Had to go to seven different gas stations to find one that gad gas,1
33502,Long gasoline lines. ? https://t.co/AXRUgoFKIS,1
33644,So glad I have a hybrid lol. All gas stations near me are out.,1
33659,I just paid $20 for 5 gallons of gas and last week I paid $33 for 15gallons #HurricaineIrma,1
33681,"I know I found that out this morning ??????? However, God worked it out. He provided gas, and I already had water. https://t.co/JPcUqghHnP",1
33718,"For anyone needing gas on I-95, St Lucie West exit (mile marker 121) still has gas at the pumps, previous exits have been out ?? #Irma",1
33851,There is gas in home depot on Miramar Parkway and i75,1
33879,.@GasBuddy reports 2 stations in #Valdosta out of gas this morning. https://t.co/wKRyF76QoB,1
33896,Can someone bring south tampa some gasoline please?,1
33950,Have not been able to find gas or water and I was out last night till like 1:15am,1
34082,"FYI,  #BrowardCounty residents, seeing big lines at gas stations already. #HurricaneIrma",1
34316,"A few dozen stations have run out of gas, but shortages should be temporary #HurricaneIrma https://t.co/haF5QQAM1f https://t.co/FqqQXS6Gj4",1
34370,Where can I get gas??!!!,1
34403,It's literally a fucking manhunt for gas rn.,1
34443,Getting gas for your gf in a hurricane preparation is a real sign of love ??,0
34528,"The @BJsWholesale gas by Millenia has a bit of a line, but it's moving. https://t.co/ZDxw7x68B6",1
34631,"How a gas station can turn around and sell a case of water for $20+ is absolutely disgusting. 
Should be ashamed. https://t.co/Fx961Pl3Yh",0
34662,Them gasoline lines are outrageous ??,1
34665,And I'm still on the clock until 8 pm.....so just imagine! I hope I can find gas!!!! https://t.co/3Jl4Jxj6Xl,1
34717,Just paid 3.35 a gallon for gas ?????????,1
34749,"How a gas station can turn around &amp; sell a case of water for $20+ is absolutely disgusting. 
Should be ashamed. https://t.co/Fx961Pl3Yh",0
34784,If you try to skip in the gas line today you gon catch a category 5 ass beating trust,0
34933,"Any gas stations with gas in the pompano beach Deerfield beach area please let me know , my mom needs gas to drive up here",1
34996,The creepiest though has to be all the gas stations that are completely empty. #HurricaineIrma,1
35200,Orlando is running out of gas...,1
35219,Thank god my ma came running inside the house @4 in morning talking about I found a gas station with gas. Because right now I'll be stuck.,1
35220,"Irma got Tampa going nuts, traffic is insane all The stores going empty, and every gas stations are boomin",1
35450,How's your gas stations looking cus mine is dead.. ????????? #HurricaneIrma,1
